"projectID";"topic";"title"
"101070811";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101113979";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101159520";"HORIZON-EIT-2024-2025-KIC-CCSI";"Culture and Creativity Business Plan 2024-2025"
"101114541";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114279";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114276";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114086";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101193439";"HORIZON-EIE-2024-CONNECT-01-02";"Startup Europe"
"101071755";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114323";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071517";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113607";"HORIZON-EIE-2022-SCALEUP-02-01";"Expanding Investments Ecosystems"
"101157473";"HORIZON-EIE-2023-CONNECT-02-02";"Specialist Advisory Services to build capacities on innovation procurement"
"101070767";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101161013";"HORIZON-EIE-2023-CONNECT-03-01";"Implementing co-funded action plans for connected regional innovation valleys"
"101071842";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113034";"HORIZON-EIT-2023-25-KIC-EITRAWMATERIALS";"EIT Raw Materials Business Plan 2023-2025"
"101133528";"HORIZON-EIE-2023-CONNECT-01-01";"Organisation of the Women TechEU Scheme"
"101072183";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114061";"HORIZON-EIE-2022-SCALEUP-02-01";"Expanding Investments Ecosystems"
"101114292";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101158281";"HORIZON-EIE-2023-CONNECT-02-01";"Stimulating Experimentation Practices"
"101070827";"HORIZON-EIE-2021-CONNECT-01-01";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101113879";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101161108";"HORIZON-EIE-2023-CONNECT-03-01";"Implementing co-funded action plans for connected regional innovation valleys"
"101096732";"HORIZON-EIE-2022-CONNECT-01-01";"Towards more inclusive networks and initiatives in European innovation ecosystems"
"101114023";"HORIZON-EIE-2022-SCALEUP-02-01";"Expanding Investments Ecosystems"
"101114109";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101074040";"HORIZON-CL3-2021-DRS-01-04";"Developing a prioritisation mechanism for research programming in standardisation related to natural hazards and/or CBRN-E sectors"
"101113151";"HORIZON-EIT-2023-25-Cross-KIC-Strategic-Synergies";"EIT Cross-KIC Strategic Synergies"
"101097000";"HORIZON-EIE-2022-CONNECT-01-01";"Towards more inclusive networks and initiatives in European innovation ecosystems"
"101113131";"HORIZON-EIT-2023-25-Cross-KIC-Shared-Services";"EIT Cross-KIC Shared Services"
"101134909";"HORIZON-EIE-2023-CONNECT-01-02";"Preparatory action for setting up joint programmes among innovation ecosystems actors"
"101193381";"HORIZON-EIE-2024-CONNECT-01-02";"Startup Europe"
"101114558";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072131";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071600";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101100515";"HORIZON-EIE-2022-SCALEUP-01-01";"Expanding Entrepreneurial Ecosystems"
"101114063";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072288";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071633";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101072176";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101101912";"HORIZON-EIT-2023-25-KIC-EITFOOD";"EIT Food Business Plan 2023-2025"
"101100468";"HORIZON-EIE-2022-SCALEUP-01-01";"Expanding Entrepreneurial Ecosystems"
"101096826";"HORIZON-EIE-2022-CONNECT-01-02";"Integration of social innovation actors in innovation ecosystems"
"101072018";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114439";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113995";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072251";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071540";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101072135";"HORIZON-EIE-2021-SCALEUP-01-01";"Expanding Acceleration Ecosystems "
"101114252";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114283";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114429";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101095912";"HORIZON-EIE-2022-CONNECT-01-01";"Towards more inclusive networks and initiatives in European innovation ecosystems"
"101072133";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114451";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101055476";"HORIZON-EIE-2021-INNOVSMES-01-01";"European Partnership on Innovative SMEs"
"101071478";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071854";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101071928";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113565";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114050";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101167800";"HORIZON-CL3-2023-SSRI-01-01";"Open grounds for pre-commercial procurement of innovative security technologies"
"101113431";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071919";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114289";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114473";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114520";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113976";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114401";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114114";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114531";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113897";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114454";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113589";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113566";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113990";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071989";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101072301";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113730";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101071795";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101113619";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114112";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101072126";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101072224";"HORIZON-EIE-2021-SCALEUP-01-03";"Women TechEU"
"101114524";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114304";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113982";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114381";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114133";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114390";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113967";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114006";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114070";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113645";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113594";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101193231";"HORIZON-EIE-2024-CONNECT-01-02";"Startup Europe"
"101113674";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101114159";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101113259";"HORIZON-EIT-2023-25-KIC-EITMANUFACTURING";"EIT Manufacturing Business Plan 2023-2025"
"101112778";"HORIZON-EIT-2023-24-KIC-EITINNOENERGY";"EIT InnoEnergy Business Plan 2023-2024"
"101158024";"HORIZON-EIE-2023-CONNECT-02-01";"Stimulating Experimentation Practices"
"101093387";"HORIZON-WIDERA-2022-ERA-01-70";"Open schooling for science education and a learning continuum for all"
"101114349";"HORIZON-EIE-2022-SCALEUP-02-02";"Women TechEU"
"101131520";"HORIZON-WIDERA-2023-ERA-01-01";"Programme level collaboration between national R&I policy-makers"
"101121325";"HORIZON-CL3-2022-SSRI-01-04";"Social innovations as enablers of security solutions and increased security perception"
