"projectID";"topic";"title"
"951281";"ERC-2020-SyG";"ERC Synergy Grant"
"862081";"FETOPEN-01-2018-2019-2020";"FET-Open Challenging Current Thinking"
"668863";"PHC-02-2015";"Understanding disease: systems medicine"
"640384";"ERC-StG-2014";"ERC Starting Grant"
"756996";"ERC-2017-STG";"ERC Starting Grant"
"101004131";"SPACE-30-SCI-2020";"Scientific data exploitation"
"730378";"CIRC-04-2016";"New models and economic incentives for circular economy business"
"708572";"MSCA-IF-2015-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"678461";"ERC-StG-2015";"ERC Starting Grant"
"875197";"ERC-2019-POC";"ERC Proof of Concept Grant"
"812656";"MSCA-ITN-2018";"Innovative Training Networks"
"959198";"SU-GOVERNANCE-09-2020";"Addressing radicalization through social inclusion"
"678407";"EE-02-2015";"Buildings design for new highly energy performing buildings"
"823783";"FETPROACT-01-2018";"FET Proactive: emerging paradigms and communities"
"766311";"MSCA-ITN-2017";"Innovative Training Networks"
"666102";"Health";"Health"
"778039";"MSCA-RISE-2017";"Research and Innovation Staff Exchange"
"952172";"DT-TDS-05-2020";"AI for Health Imaging"
"949707";"ERC-2020-STG";"ERC STARTING GRANTS"
"948476";"ERC-2020-STG";"ERC STARTING GRANTS"
"101000213";"SFS-02-2020";"Healthy terrestrial livestock microbial ecosystems for sustainable production"
"786945";"SEC-05-DRS-2016-2017";"Chemical, biological, radiological and nuclear (CBRN) cluster"
"802885";"ERC-2018-STG";"ERC Starting Grant"
"804302";"ERC-2018-STG";"ERC Starting Grant"
"803335";"ERC-2018-STG";"ERC Starting Grant"
"802281";"ERC-2018-STG";"ERC Starting Grant"
"804176";"ERC-2018-STG";"ERC Starting Grant"
"801669";"ERC-2018-STG";"ERC Starting Grant"
"803860";"ERC-2018-STG";"ERC Starting Grant"
"803614";"ERC-2018-STG";"ERC Starting Grant"
"803047";"ERC-2018-STG";"ERC Starting Grant"
"802279";"ERC-2018-STG";"ERC Starting Grant"
"802878";"ERC-2018-STG";"ERC Starting Grant"
"802895";"ERC-2018-STG";"ERC Starting Grant"
"802752";"ERC-2018-STG";"ERC Starting Grant"
"802544";"ERC-2018-STG";"ERC Starting Grant"
"804208";"ERC-2018-STG";"ERC Starting Grant"
"805524";"ERC-2018-STG";"ERC Starting Grant"
"803711";"ERC-2018-STG";"ERC Starting Grant"
"804582";"ERC-2018-STG";"ERC Starting Grant"
"804388";"ERC-2018-STG";"ERC Starting Grant"
"802631";"ERC-2018-STG";"ERC Starting Grant"
"803194";"ERC-2018-STG";"ERC Starting Grant"
"802553";"ERC-2018-STG";"ERC Starting Grant"
"803958";"ERC-2018-STG";"ERC Starting Grant"
"802830";"ERC-2018-STG";"ERC Starting Grant"
"805072";"ERC-2018-STG";"ERC Starting Grant"
"801434";"ERC-2018-STG";"ERC Starting Grant"
"803363";"ERC-2018-STG";"ERC Starting Grant"
"802729";"ERC-2018-STG";"ERC Starting Grant"
"804104";"ERC-2018-STG";"ERC Starting Grant"
